time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy
0.042,,,,,,,,,,,,,,,,,,,,
0.145,,,,,,,,,,,,,,,,,,,,
0.247,,,,,,,,,,,,,,,,,,,,
0.349,,,,,,,,,,,,,,,,,,,,
0.452,,,,,,,,,,,,,,,,,,,,
0.554,,,,,,,,,,,,,,,,,,,,
0.658,,,,,,,,,,,,,,,,,,,,
0.760,,,,,,,,,,,,,,,,,,,,
0.864,,,,,,,,,,,,,,,,,,,,
1.047,,,,,,,,,,,,,,,,,,,,
1.055,,,,,,,,,,,,,,,,,,,,
1.062,,,,,,,,,,,,,,,,,,,,
1.064,,,,,,,,,,,,,,,,,,,,
1.065,2.802,-0.000,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",3.048,3.048,3.048,0,0,0,3.600,-0.900,0.000,0.000,-0.012,-0.034
1.067,,,,,,,,,,,,,,,,,,,,
1.073,2.802,-0.000,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,3.600,-0.900,0.000,0.000,-0.012,-0.034
1.427,3.067,-0.000,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,3.600,-0.900,0.000,0.000,-0.025,-0.335
1.436,3.067,-0.000,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,3.600,-0.900,0.000,0.000,-0.025,-0.335
1.830,-3.109,0.113,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,3.713,-0.787,-0.019,-0.113,0.024,-0.735
1.841,-3.109,0.113,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,3.713,-0.787,-0.019,-0.113,0.024,-0.735
2.234,3.066,0.383,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,3.983,-0.517,-0.036,-0.383,-0.061,-0.804
2.239,3.066,0.383,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,3.983,-0.517,-0.036,-0.383,-0.061,-0.804
2.634,3.021,0.703,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,4.303,-0.197,-0.056,-0.703,-0.097,-0.803
2.641,3.021,0.703,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,4.303,-0.197,-0.056,-0.703,-0.097,-0.803
3.039,3.056,1.015,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,4.615,0.115,-0.088,-1.015,-0.067,-0.780
3.043,3.056,1.015,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,4.615,0.115,-0.088,-1.015,-0.067,-0.780
3.431,3.097,1.334,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,4.934,0.434,-0.112,-1.334,-0.036,-0.815
3.435,3.097,1.334,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,4.934,0.434,-0.112,-1.334,-0.036,-0.815
3.827,3.106,1.667,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,5.267,0.767,-0.125,-1.667,-0.028,-0.791
3.835,3.106,1.667,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,5.267,0.767,-0.125,-1.667,-0.028,-0.791
4.232,-3.092,1.994,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,5.595,1.094,-0.137,-1.994,0.046,-0.918
4.237,-3.092,1.994,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,5.595,1.094,-0.137,-1.994,0.046,-0.918
4.632,-3.110,2.333,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,5.934,1.433,-0.128,-2.333,0.028,-0.875
4.637,-3.110,2.333,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,5.934,1.433,-0.128,-2.333,0.028,-0.875
5.033,-3.074,2.658,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,6.258,1.758,-0.118,-2.658,0.062,-0.913
5.039,-3.074,2.658,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,6.258,1.758,-0.118,-2.658,0.062,-0.913
5.427,-3.115,2.981,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,6.581,2.081,-0.108,-2.981,0.023,-0.873
5.431,-3.115,2.981,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,6.581,2.081,-0.108,-2.981,0.023,-0.873
5.827,-3.094,3.306,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,6.906,2.406,-0.089,-3.306,0.039,-0.825
5.834,-3.094,3.306,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,6.906,2.406,-0.089,-3.306,0.039,-0.825
6.235,-3.082,3.627,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,7.228,2.728,-0.068,-3.627,0.048,-0.805
6.241,-3.082,3.627,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,7.228,2.728,-0.068,-3.627,0.048,-0.805
6.630,3.127,3.925,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,7.525,3.025,-0.053,-3.925,-0.011,-0.742
6.637,3.127,3.925,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,7.525,3.025,-0.053,-3.925,-0.011,-0.742
7.035,-3.127,4.225,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,7.825,3.325,-0.041,-4.225,0.012,-0.848
7.041,-3.127,4.225,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,7.825,3.325,-0.041,-4.225,0.012,-0.848
7.427,-3.054,4.543,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,8.143,3.643,-0.022,-4.543,0.066,-0.753
7.433,-3.054,4.543,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,8.143,3.643,-0.022,-4.543,0.066,-0.753
7.830,-3.119,4.846,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,8.446,3.946,-0.011,-4.846,0.017,-0.758
7.835,-3.119,4.846,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,8.446,3.946,-0.011,-4.846,0.017,-0.758
8.233,-3.100,5.155,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,8.755,4.255,-0.004,-5.155,0.033,-0.787
8.240,-3.100,5.155,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,8.755,4.255,-0.004,-5.155,0.033,-0.787
8.631,-3.135,5.460,"[1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, -1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6.096,3.048,3.048,1,0,0,9.060,4.560,-0.003,-5.460,0.005,-0.769
